Price,Date
1.569,2019-06-25
1.569,2019-06-26
1.569,2019-06-27
1.569,2019-06-28
1.569,2019-06-29
1.569,2019-06-30
1.592,2019-07-02
1.592,2019-07-03
1.592,2019-07-04
1.592,2019-07-05
1.592,2019-07-06
1.592,2019-07-07
1.594,2019-07-08
1.597,2019-07-09
1.597,2019-07-10
1.597,2019-07-11
1.597,2019-07-12
1.597,2019-07-13
1.597,2019-07-14
1.611,2019-07-15
1.617,2019-07-16
1.617,2019-07-19
1.617,2019-07-20
1.617,2019-07-21
1.612,2019-07-22
1.602,2019-07-23
1.602,2019-07-24
1.602,2019-07-25
1.602,2019-07-27
1.604,2019-07-31
1.604,2019-08-04
1.609,2019-08-05
1.609,2019-08-06
1.609,2019-08-07
1.609,2019-08-09
1.609,2019-08-10
1.609,2019-08-11
1.581,2019-08-12
1.566,2019-08-13
1.566,2019-08-14
1.566,2019-08-15
1.566,2019-08-16
1.566,2019-08-17
1.567,2019-08-19
1.567,2019-08-22
1.567,2019-08-23
1.567,2019-08-24
1.567,2019-08-25
1.567,2019-08-26
1.567,2019-08-27
1.567,2019-08-28
1.567,2019-08-30
1.567,2019-08-31
1.569,2019-09-02
1.569,2019-09-04
1.569,2019-09-05
1.569,2019-09-06
1.569,2019-09-07
1.562,2019-09-11
1.562,2019-09-13
1.562,2019-09-14
1.562,2019-09-15
1.559,2019-09-16
1.559,2019-09-18
1.559,2019-09-19
1.559,2019-09-20
1.559,2019-09-21
1.559,2019-09-22
1.591,2019-09-23
1.591,2019-09-24
1.591,2019-09-25
1.591,2019-09-26
1.591,2019-09-27
1.591,2019-09-28
1.582,2019-09-30
1.576,2019-10-07
1.576,2019-10-08
1.576,2019-10-09
1.576,2019-10-10
1.576,2019-10-11
1.576,2019-10-12
1.567,2019-10-14
1.564,2019-10-15
1.564,2019-10-16
1.564,2019-10-18
1.564,2019-10-19
1.556,2019-10-21
1.549,2019-10-23
1.549,2019-10-24
1.549,2019-10-25
1.559,2019-10-29
1.559,2019-10-30
1.559,2019-10-31
1.559,2019-11-02
1.559,2019-11-03
1.564,2019-11-04
1.574,2019-11-07
1.574,2019-11-09
1.574,2019-11-10
1.581,2019-11-11
1.584,2019-11-12
1.584,2019-11-13
1.584,2019-11-15
1.576,2019-11-18
1.576,2019-11-19
1.569,2019-11-22
1.569,2019-11-23
1.566,2019-11-27
1.566,2019-11-28
1.566,2019-11-29
1.566,2019-12-01
1.574,2019-12-02
1.581,2019-12-06
1.581,2019-12-07
1.564,2019-12-14
1.564,2019-12-15
1.566,2019-12-16
1.569,2019-12-17
1.569,2019-12-19
1.569,2019-12-20
1.579,2019-12-24
1.579,2019-12-25
1.579,2019-12-26
1.579,2019-12-27
1.632,2020-01-02
1.632,2020-01-04
1.632,2020-01-05
1.631,2020-01-08
1.631,2020-01-09
1.631,2020-01-10
1.624,2020-01-15
1.624,2020-01-19
1.619,2020-01-20
1.617,2020-01-21
1.617,2020-01-23
1.617,2020-01-24
1.617,2020-01-25
1.612,2020-01-27
1.611,2020-01-29
1.611,2020-01-30
1.611,2020-02-01
1.611,2020-02-02
1.587,2020-02-03
1.587,2020-02-04
1.587,2020-02-05
1.587,2020-02-07
1.586,2020-02-10
1.582,2020-02-11
1.582,2020-02-12
1.582,2020-02-13
1.582,2020-02-14
1.582,2020-02-15
1.582,2020-02-16
1.587,2020-02-17
1.591,2020-02-18
1.591,2020-02-19
1.591,2020-02-20
1.591,2020-02-22
1.591,2020-02-24
1.611,2020-02-26
1.611,2020-02-27
1.611,2020-02-28
1.611,2020-02-29
1.611,2020-03-01
1.571,2020-03-05
1.571,2020-03-06
1.571,2020-03-07
1.571,2020-03-08
1.552,2020-03-09
1.541,2020-03-10
1.541,2020-03-11
1.541,2020-03-12
1.541,2020-03-13
1.541,2020-03-14
1.541,2020-03-15
1.446,2020-03-17
